search_term,position_first_amazon,position_first_non_amazon,position_first_wholly_non_amazon,amazon_stars,amazon_reviews,non_amazon_stars,non_amazon_reviews,wnon_amazon_stars,wnon_amazon_reviews
00 flour,39.0,2,5.0,4.6,530,4.8,3857,4.7,1564
0w-20 full synthetic oil,8.0,5,14.0,4.8,8392,4.8,969,4.8,386
1 inch binder,1.0,5,35.0,4.7,13598,4.7,4215,4.7,519
1 year old boy toy,15.0,5,,4.7,6042,4.8,4674,,
1 year old girl gifts,11.0,5,,4.7,4359,4.7,2406,,
1 year old girl toy,8.0,5,,4.8,47452,4.4,5815,,
10 dollar gifts,32.0,1,23.0,4.8,65152,4.7,87312,4.2,1911
10 ft iphone charger cable,1.0,3,,4.6,41169,4.6,510,,
10 gifts,42.0,1,,4.9,519022,4.8,2830,,
10 gifts for women,13.0,1,11.0,4.5,681,4.8,2830,5.0,1
10 inch tablet,1.0,3,,4.6,142842,4.0,621,,
10 lb dumbbells,2.0,3,7.0,4.7,2297,4.6,9634,4.7,5351
10 year old boys gifts,1.0,5,,4.6,34,4.7,16056,,
10 year old girl gift,14.0,2,,4.3,33,4.8,5958,,
1080p webcam,21.0,3,,4.3,2287,4.3,1873,,
10ft iphone charger,1.0,3,,4.3,3136,4.6,5376,,
11 pro case,1.0,5,16.0,4.5,3691,4.7,25890,4.7,5447
12 month baby girl clothes,1.0,3,,4.8,29404,4.6,3911,,
12 month boy clothes,1.0,4,,4.8,3002,4.5,710,,
12 month toys,6.0,3,21.0,4.5,6498,4.7,7753,4.8,2470
12 pro case,17.0,5,,4.5,36887,4.7,11542,,
12 year old boy gifts,1.0,3,49.0,4.5,366,4.3,578,4.5,7874
12 year old girl gifts,20.0,2,39.0,4.6,1366,4.5,142,4.7,2210
13 gallon trash bags,1.0,6,,4.7,57468,4.7,7256,,
13 gallon trash can,10.0,2,9.0,4.7,882,4.4,16453,4.6,964
13 inch cube storage bin,1.0,3,22.0,4.7,36549,4.7,3726,4.5,1408
13 inch cube storage bins,41.0,5,15.0,4.7,36549,4.7,3726,4.5,1408
13 year old boy gift ideas,14.0,2,40.0,4.2,36,4.4,8004,4.6,37584
13 year old boy gifts,14.0,2,,4.2,36,4.7,5804,,
13 year old girl gift,14.0,2,,4.7,6594,4.5,1840,,
13 year old girl gifts best sellers,17.0,5,44.0,4.4,384,4.6,481,4.7,3809
13x13 storage cubes,24.0,2,16.0,4.7,36548,4.7,3726,4.5,1408
14 inch laptop case,1.0,5,,4.7,9036,4.7,2080,,
14 year old boy gifts,50.0,2,,4.3,13310,4.3,4780,,
14k gold earrings,12.0,2,3.0,4.5,10962,4.6,14297,,
15 bean soup dry beans,39.0,1,9.0,4.7,4547,4.2,21,5.0,1
15 lb dumbbells,2.0,3,6.0,4.8,11728,4.7,2430,,
15 lb dumbbells set of 2,7.0,2,3.0,4.8,11728,4.7,2430,,
15 piece bath set,35.0,2,10.0,4.7,7057,3.9,17,4.2,88
15 pound dumbbells,4.0,2,7.0,4.8,11728,4.7,2430,4.6,505
15 year old boy christmas gifts,22.0,1,18.0,4.6,6217,4.7,168,4.5,923
15 year old girl gifts for birthday,14.0,2,33.0,4.7,6594,4.7,141,4.2,74
