Word Mark,Goods and Services,Filing Date,Owner
10.OR,"IC 009. US 021 023 026 036 038. G & S: Apparatus for recording, transmission, processing or reproduction of data, sound or images, namely, touchscreen monitors, computer monitors, television monitors and televisions; mobile phones; smartphones; wireless phones; wireless devices, namely, wireless communications devices for voice, data, or image transmission, excluding voice and data switches, private branch exchanges, and computer-implemented telephony interfaces; portable computers and personal digital assistants; computer hardware for the transmission of data between two points, namely, for transmitting and receiving voice and data; wireless modems; headsets for telephones; SD memory cards; blank flash memory cards; USB hubs; flash card readers; connection cables; in-car mobile phone cradles; mounts, namely, mobile phone, computer, and tablet computer mounts; cell phone face plates; batteries; electrical power adaptors; battery and wireless chargers; cases, namely, computer cases, tablet computer cases, and mobile phone cases; in-vehicle cell phone battery chargers; cases, namely, in-vehicle cell-phone and tablet computer cases; remote controls for streaming media devices and televisions; keyboards; microphones; loudspeakers; leather pouches specially adapted for mobile phones; none of the aforesaid goods to be used in connection with voice and data switches, private branch exchanges and VoIP gateways IC 035. US 100 101 102. G & S: Telecommunications services, namely, arranging subscriptions to telecommunication and telephone services for others; none of the aforesaid services to be used in connection with voice and data switches, private branch exchanges and VoIP gateways IC 038. US 100 101 104. G & S: Telecommunications services, namely, mobile and fixed telephone services; telecommunications services, namely, transmission of data and sound by telecommunications networks, wireless communication networks, and the Internet; telecommunications services, namely, electronic data transmission of GPS navigation data, emails, notification alerts, status updates, documents, voice, location information and paging information; telecommunications services, namely, providing access to data in the nature of telecommunications access services; none of the aforesaid services to be used in connection with voice and data switches, private branch exchanges and VoIP gateways IC 042. US 100 101. G & S: Design and development of computer hardware related to mobile phones and smartphones; remote online backup of data from telecommunications and mobile broadband devices, namely, mobile phones and smart phones; quality control for others of portable wireless apparatus, namely, smart phones; technical support services pertaining to diagnosis and trouble shooting of software problems on portable wireless apparatus, namely, smart phones; providing usage of non-downloadable software for data preload for mobile phones, smartphones, cellular phones and wireless handheld digital electronic devices; providing temporary use of non-downloadable software for database management and for the distribution of preload software in the nature of mobile applications and operating systems on mobile phones, smartphones, cellular phones, portable computers, tablet computers, and personal digital assistants and wireless handheld digital electronic devices; Providing technical support, namely, technical advice concerning the use, repairs, upgrades and maintenance of computer software for mobile phones, smartphones, cellular phones, and wireless handheld digital electronic devices; none of the aforesaid services to be used in connection with voice and data switches, private branch exchanges and VoIP gateways","November 14, 2017","(APPLICANT) AMAZON TECHNOLOGIES , INC. CORPORATION NEVADA 410 TERRY AVENUE NORTH SEATTLE WASHINGTON 98109"
206 Collective,,,
365 BY WHOLE FOODS MARKET,"IC 009. US 021 023 026 036 038. G & S: pre-recorded audio and video recordings, and digital media in the fields of cooking, nutrition, grocery shopping, environmental issues, conservation, food, wine, health, and wellness. FIRST USE: 20160309. FIRST USE IN COMMERCE: 20160309 IC 035. US 100 101 102. G & S: Retail grocery store services; supermarkets; Retail store services featuring a wide variety of consumer goods of others; Computerized on-line ordering featuring general consumer merchandise; on-line grocery store services featuring home delivery service; Promoting public awareness in the fields of nutrition and proper diet. FIRST USE: 20160525. FIRST USE IN COMMERCE: 20160525 IC 043. US 100 101. G & S: Restaurant services; take-out restaurant services; Cafe services; tea bars; Coffee shop and coffee bar services; Bar services. FIRST USE: 20160525. FIRST USE IN COMMERCE: 20160525","June 11, 2015","(REGISTRANT) Whole Foods Market IP, L.P. WFM IP Management, Inc., a Delaware corporation LIMITED PARTNERSHIP DELAWARE 550 Bowie Street, 6th Floor Austin TEXAS 78703 (LAST LISTED OWNER) AMAZON TECHNOLOGIES , INC. CORPORATION NEVADA 410 TERRY AVENUE NORTH SEATTLE WASHINGTON 98109"
365 EVERY DAY VALUE,"IC 029. US 046. G & S: [ frozen boxed dinners consisting primarily of meat, fish, poultry or vegetables, soups, fruit sauces, potato and fruit-based chips, frozen fruits, processed tomatoes, tomato sauce and paste, frozen potato dishes, ] processed beans, [ dried fruit, processed nuts, trail snack mix consisting primarily of processed fruits, processed nuts and/or raisins, nut butters, jams, marmalade, ] fruit spreads, [ olive oil, ] cooking oil, [ canned tuna, ] milk, half and half, [ cream cheese, cheeses, soy-based and cheese, ] yogurt, processed vegetables and processed fruits, all free of artificial ingredients and preservatives. FIRST USE: 19970300. FIRST USE IN COMMERCE: 19970300 IC 030. US 046. G & S: [ processed cereals, processed grains, pasta, ] macaroni and cheese, [ ready to eat cereal-based food bar, wheat-based food bars, corn-based chips, flour-based chips, cheese flavored puffed corn snacks, ] confectionery chips for baking, crackers, mayonnaise, [ ketchup, ] relish, spices, natural sweeteners, coffee, [ pasta sauce, ] chocolate chips, [ vinegar, pizza, cereal-based snack foods, rice-based snack foods, wheat-based snack foods, ] whole grain and dry fruit bar, [ candy, frozen fruit bars, ice cream, cookies, ] and processed herbs, all free of artificial ingredients and preservatives. FIRST USE: 19970300. FIRST USE IN COMMERCE: 19970300 (CANCELLED) IC 031. US 001 046. G & S: [ unprocessed beans and rice, ] [unprocessed pet food, all free of artificial ingredients and preservatives, and pesticides]. FIRST USE: 19971200. FIRST USE IN COMMERCE: 19971200 IC 032. US 045 046 048. G & S: fresh and concentrated fruit juices, [fresh and concentrated vegetable juices, fresh and concentrated sports drinks, ] sparkling water, and bottled drinking water, all free of artificial ingredients and preservatives. FIRST USE: 19970300. FIRST USE IN COMMERCE: 19970300","May 2, 1997","(REGISTRANT) WHOLE FOODS MARKET IP, L.P. WFM IP MANAGEMENT, INC., a Deleware corporation. LIMITED PARTNERSHIP DELAWARE 550 Bowie Street, 6th Floor Austin TEXAS 78703 (LAST LISTED OWNER) AMAZON TECHNOLOGIES , INC. CORPORATION NEVADA 410 TERRY AVENUE NORTH SEATTLE WASHINGTON 98109"
A FOR AWESOME,"IC 025. US 022 039. G & S: Clothing, namely, shirts, t-shirts, sweatshirts, pants, shorts, skirts, tunics, tank tops, dresses, tracksuits, leggings, sweaters, pullovers, sleepwear. FIRST USE: 20171124. FIRST USE IN COMMERCE: 20171124","April 5, 2018","(REGISTRANT) Amazon Technologies , Inc. CORPORATION NEVADA Attn: Trademarks 410 Terry Ave North Seattle WASHINGTON 98109"
A MADE FOR KINDLE,"IC 009. US 021 023 026 036 038. G & S: Protective carrying cases and protective covers for portable electronic devices, namely, for electronic book readers,[ digital and audio media players, ] tablet computers [, stands for portable electronic devices, namely, for electronic book readers, portable media players, tablet computers, fitted plastic films known as skins for covering and protecting portable electronic devices, namely, for electronic book readers, portable media players, tablet computers; speakers, namely, audio speakers; electronic docking stations ]. FIRST USE: 20111114. FIRST USE IN COMMERCE: 20141114","March 27, 2012","(REGISTRANT) Amazon Technologies , Inc. CORPORATION NEVADA 410 Terry Ave N ATTN: Trademarks Seattle WASHINGTON 98109"
AFA,"IC 029. US 046. G & S: [ Soups, fruit sauces, processed beans, jams, ] fruit spreads, olive oil, [ cheeses, and processed fruits ]. FIRST USE: 20021000. FIRST USE IN COMMERCE: 20021100 (CANCELLED) IC 030. US 046. G & S: [ Pasta, mayonnaise, mustard, relish, spices, natural sweeteners, honey, coffee, vinegar, cookies ]. FIRST USE: 20021100. FIRST USE IN COMMERCE: 20021100 (CANCELLED) IC 031. US 001 046. G & S: [ Unprocessed beans and rice, unprocessed grains for eating ]. FIRST USE: 20021100. FIRST USE IN COMMERCE: 20021100 IC 032. US 045 046 048. G & S: Beer. FIRST USE: 20050600. FIRST USE IN COMMERCE: 20050600 (CANCELLED) IC 033. US 047 049. G & S: [ Wine ]. FIRST USE: 20031000. FIRST USE IN COMMERCE: 20031000","February 5, 2002","(REGISTRANT) Whole Foods Market IP, L.P. WFM IP Management, Inc., a Delaware Corporation LIMITED PARTNERSHIP DELAWARE 550 Bowie Street, 6th Floor Austin TEXAS 78703 (LAST LISTED OWNER) AMAZON TECHNOLOGIES , INC. CORPORATION NEVADA 410 TERRY AVENUE NORTH SEATTLE WASHINGTON 98109"
AFA AUTHENTIC FOOD ARTISAN,"IC 029. US 046. G & S: [ fruit sauces, jams, ] fruit spreads, olive oil, [ canned tuna, processed fruits ]. FIRST USE: 20021100. FIRST USE IN COMMERCE: 20021100 (CANCELLED) IC 030. US 046. G & S: [ processed grains, pasta, mayonnaise, mustard, relish, spices, natural sweeteners, honey, vinegar and cookies ]. FIRST USE: 20021100. FIRST USE IN COMMERCE: 20021100 (CANCELLED) IC 031. US 001 046. G & S: [ unprocessed rice and unprocessed grains for eating ]. FIRST USE: 20021100. FIRST USE IN COMMERCE: 20021100 IC 032. US 045 046 048. G & S: Beer. FIRST USE: 20050600. FIRST USE IN COMMERCE: 20050600 (CANCELLED) IC 033. US 047 049. G & S: [ Wine ]. FIRST USE: 20030100. FIRST USE IN COMMERCE: 20030100","June 14, 2002","(REGISTRANT) Whole Foods Market IP, L.P. WFM IP Management, Inc., a Delaware Corporation LIMITED PARTNERSHIP DELAWARE 550 Bowie St., 6th Floor Austin TEXAS 78703 (LAST LISTED OWNER) AMAZON TECHNOLOGIES , INC. CORPORATION NEVADA 410 TERRY AVENUE NORTH SEATTLE WASHINGTON 98109"
AFTERTHOUGHT,"IC 025. US 022 039. G & S: Clothing and headwear, namely, t-shirts, sweatshirts, shorts, sweatpants, tank tops, pullovers, tracksuits, underwear, undershirts, sleepwear, socks, slippers; beanies, hats","August 21, 2018","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA Attn: Trademarks 410 Terry Ave North Seattle WASHINGTON 98109"
ALEXA,"IC 011. US 013 021 023 031 034. G & S: Smart home apparatus for lighting, heating, steam generating, cooking, refrigerating, drying, and ventilating in the nature of light fixtures, lamps, lighting installations, electric heaters for food, electric space heaters, electric radiant heaters, heat generators, electric and gas fireplaces, steam generating installations, steam ovens for cooking, steam showers, humidifiers, dehumidifiers, cooking stoves, microwave ovens, electric toast ovens, cooking ranges, electric grills, electric cooking pots, cooking ovens, refrigerators, freezers, electric laundry dryers, air-conditioning apparatus and installations, ventilating exhaust fans, air-conditioning, air cooling, and ventilation apparatus and instruments; smart home connected LED lighting systems, namely, LED modules, power supplies and wiring; smart home connected lighting fixtures for cabinets, pantries, work spaces, sheds, shelving units, and cupboards; smart home connected power outage lighting systems in the nature of electric lighting fixtures, namely, smart home connected power failure backup safety lighting; wireless local area network-enabled lighting, heating, steam generating, cooking, refrigerating, drying, and ventilating,namely, light fixtures, lamps, lighting installations, electric heaters for food, electric space heaters, electric radiant heaters, heat generators, electric and gas fireplaces, steam generating installations, steam ovens for cooking, steam showers, cooking stoves, cooking ranges, electric grills, electric cooking pots, ventilating exhaust fans, air-conditioning, air cooling, and ventilation apparatus and instruments; internet of things (IoT) enabled lighting, heating, steam generating, cooking, refrigerating, drying, and ventilating, apparatus namely, light fixtures, lamps, lighting installations, electric heaters for food, electric space heaters, electric radiant heaters, heat generators, electric and gas fireplaces, steam generating installations, steam ovens for cooking, steam showers, cooking stoves, cooking ranges, electric grills, electric cooking pots, ventilating exhaust fans, air-conditioning, air cooling, and ventilation apparatus and instruments; wireless local area network enabled LED lighting systems, namely, LED modules, power supplies and wiring; wireless local area network enabled lighting fixtures for cabinets, pantries, work spaces, sheds, shelving units, and cupboards; wireless local area network enabled power outage lighting systems in the nature of electric lighting fixtures, namely, wireless local area network enabled power failure backup safety lighting; internet of things (IoT) enabled LED lighting systems, namely, LED modules, power supplies and wiring; internet of things (IoT) enabled lighting fixtures for cabinets, pantries, work spaces, sheds, shelving units, and cupboards; internet of things (IoT) enabled power outage lighting systems in the nature of electric lighting fixtures, namely, internet of things (IoT) enabled power failure backup safety lighting; wireless local area network enabled lighting fixtures and ceiling fans; internet of things (IoT) enabled lighting fixtures and ceiling fans; smart lighting fixtures; smart ceiling fans; voice responsive lighting, heating, steam generating, cooking, refrigerating, drying, and ventilating apparatus, namely, light fixtures, lamps, lighting installations, electric heaters for food, electric space heaters, electric radiant heaters, heat generators, electric and gas fireplaces, steam generating installations, steam ovens for cooking, steam showers, cooking stoves, cooking ranges, electric grills, electric cooking pots, ventilating exhaust fans, air-conditioning, air cooling, and ventilation apparatus and instruments; voice responsive LED lighting systems, namely, LED modules, power supplies and wiring; voice responsive lighting fixtures for cabinets, pantries, work spaces, sheds, shelving units, and cupboards; voice responsive power outage lighting systems in the nature of electric lighting fixtures, namely, voice responsive power failure backup safety lighting; smart flashlights; internet of things (IoT) enabled flashlights; wireless local area network enabled flashlights; voice responsive flashlights; internet of things (IoT) enabled lights, namely, bicycle lights, ceiling lights, electric holiday lights, electric night lights, light post luminaires, chandeliers, wall lights, reading lights; wireless local area network enabled lights, namely, bicycle lights, ceiling lights, electric holiday lights, electric night lights, light post luminaires, chandeliers, wall lights, reading lights; voice responsive lights, namely, bicycle lights, ceiling lights, electric holiday lights, electric night lights, light post luminaires, chandeliers, wall lights, reading lights; internet of things (IoT) outdoor lighting, namely, paver lights, electric torches, lanterns for lighting, lighting tubes, lamps for outdoor use, outdoor solar powered lighting units and fixtures, lights for automatic vending machines, landscape lighting installations, and mobile light towers; wireless local area network enabled outdoor lighting, namely, paver lights, electric torches, lanterns for lighting, lighting tubes, lamps for outdoor use, outdoor solar powered lighting units and fixtures, lights for automatic vending machines, landscape lighting installations, and mobile light towers; voice responsive outdoor lighting, namely, paver lights, electric torches, lanterns for lighting, lighting tubes, lamps for outdoor use, outdoor solar powered lighting units and fixtures, lights for automatic vending machines, landscape lighting installations, and mobile light towers; internet of things (IoT) enabled electric lanterns and oil lanterns; wireless local area network enabled electric lanterns and oil lanterns; voice responsive electric lanterns and oil lanterns; internet of things (IoT) enabled bulbs, namely, light bulbs, electric light bulbs, lamp bulbs, fluorescent electric light bulbs, halogen light bulbs, incandescent light bulbs, led light bulbs, miniature light bulbs; wireless local area network enabled bulbs, namely, light bulbs, electric light bulbs, lamp bulbs, fluorescent electric light bulbs, halogen light bulbs, incandescent light bulbs, led light bulbs, miniature light bulbs; voice responsive bulbs, namely, light bulbs, electric light bulbs, lamp bulbs, fluorescent electric light bulbs, halogen light bulbs, incandescent light bulbs, led light bulbs, miniature light bulbs; internet of things (IoT) enabled household appliances, namely, convection ovens, temperature-controlled wine cellars, electric frying pans, microwave ovens, cooking ovens, baking ovens, gas cook tops, combination steamers and ovens, ice-making machines, refrigerators, freezers, laundry dryers in the nature of clothes dryers, dehumidifiers, humidifiers, air conditioners, heaters, namely, electric beverage heaters, electric heaters for infant food, electric heaters for babies' bottles, and electric heaters for commercial use; wireless local area network enabled household appliances, namely, convection ovens, temperature-controlled wine cellars, electric frying pans, microwave ovens, cooking ovens, baking ovens, gas cook tops, combination steamers and ovens, ice-making machines, refrigerators, freezers, laundry dryers in the nature of clothes dryers, dehumidifiers, humidifiers, air conditioners, heaters, namely, electric beverage heaters, electric heaters for infant food, electric heaters for babies' bottles, and electric heaters for commercial use; voice responsive household appliances, namely, convection ovens, temperature-controlled wine cellars, electric frying pans, microwave ovens, cooking ovens, baking ovens, gas cook tops, combination steamers and ovens, ice-making machines, refrigerators, freezers, laundry dryers in the nature of clothes dryers, dehumidifiers, humidifiers, air conditioners, heaters, namely, electric beverage heaters, electric heaters for infant food, electric heaters for babies' bottles, and electric heaters for commercial use; internet of things (IoT) enabled household appliances, namely, electric patio heaters, electric radiant heaters for household purposes, gas patio heaters, portable electric heaters; wireless local area network enabled household appliances, namely, electric patio heaters, electric radiant heaters for household purposes, gas patio heaters, portable electric heaters; voice responsive household appliances, namely, electric patio heaters, electric radiant heaters for household purposes, gas patio heaters, portable electric heaters; internet of things (IoT) enabled bread makers in the nature of bread baking machines; wireless local area network enabled bread makers in the nature of bread baking machines; voice responsive bread makers in the nature of bread baking machines; internet of things (IoT) enabled electric ice-cream makers; wireless local area network enabled electric ice-cream makers; voice responsive ice-cream makers; internet of things (IoT) enabled hot plates; wireless local area network enabled hot plates; voice responsive hot plates; Internet of things (IoT) enabled electric appliances, namely, pressure cookers, electric slow cookers, electric cooking ovens, electric cook tops, electric stoves, self-cleaning electric cooking ovens, electric coffee makers, electric coffee percolators, automatic electric waffle makers, electric barbecue grills, fondue pots with heat source, electric sandwich toasters, electric toasters, electric kettles, immersion heaters, electric baby food warmers, sterilizers; wireless local area network enabled electric appliances, namely, pressure cookers, electric slow cookers, electric cooking ovens, electric cook tops, electric stoves, self-cleaning electric cooking ovens, electric coffee makers, electric coffee percolators, automatic electric waffle makers, electric barbecue grills, fondue pots with heat source, electric sandwich toasters, electric toasters, electric kettles, immersion heaters, electric baby food warmers, sterilizers; voice responsive electric appliances, namely, pressure cookers, electric slow cookers, electric cooking ovens, electric cook tops, electric stoves, self-cleaning electric cooking ovens, electric coffee makers, electric coffee percolators, automatic electric waffle makers, electric barbecue grills, fondue pots with heat source, electric sandwich toasters, electric toasters, electric kettles, immersion heaters, electric baby food warmers, sterilizers; internet of things (IoT) enabled electric appliances, namely, electric yogurt makers, electric hotplates, electric egg cookers, automatic electric coffee machines, facial saunas, infrared lamps, electronic facial steamers, whirlpool baths, heating pads not for medical purposes, hair dryers, electric espresso machines, electric coffee machines, electric coffee filter machines in the nature of coffee filters not of paper being part of electric coffee makers, electric espresso machines, electric mocha machines in the nature of coffee machines, electric rice cookers, electric kettles, electric blankets, not for medical purposes, electric fans, electric deep fryers; wireless local area network enabled electric appliances, namely, electric yogurt makers, electric hotplates, electric egg cookers, automatic electric coffee machines, facial saunas, infrared lamps, electronic facial steamers, whirlpool baths, heating pads not for medical purposes, hair dryers, electric espresso machines, electric coffee machines, electric coffee filter machines in the nature of coffee filters not of paper being part of electric coffee makers, electric espresso machines, electric mocha machines in the nature of coffee machines, electric rice cookers, electric kettles, electric blankets, not for medical purposes, electric fans, electric deep fryers; voice responsive electric appliances, namely, electric yogurt makers, electric hotplates, electric egg cookers, automatic electric coffee machines, facial saunas, infrared lamps, electronic facial steamers, whirlpool baths, heating pads not for medical purposes, hair dryers, electric espresso machines, electric coffee machines, electric coffee filter machines in the nature of coffee filters not of paper being part of electric coffee makers, electric espresso machines, electric mocha machines in the nature of coffee machines, electric rice cookers, electric kettles, electric blankets, not for medical purposes, electric fans, electric deep fryers; apparatus for lighting, heating, steam generating, cooking, refrigerating, drying, and ventilating purposes with software and hardware for internet of things (IoT) and voice responsiveness, namely, light fixtures, lamps, lighting installations, electric heaters for food, electric heaters, electric radiant heaters, heat generators, electric and gas fireplaces, steam generating installations, steam ovens for cooking, steam showers, humidifiers, dehumidifiers, cooking stoves, microwave ovens, electric toaster ovens, cooking ranges, electric grills, electric cooking pots, cooking ovens, refrigerators, freezers, electric laundry dryers, air-conditioning apparatus and installations, ventilating exhaust fans, air-conditioning, air cooling and ventilation apparatus and instruments; LED lighting systems, namely, LED modules, power supplies and wiring with software and hardware for internet of things (IoT) and voice responsiveness; lighting fixtures for cabinets, pantries, work spaces, sheds, shelving units, and cupboards with software and hardware for internet of things (IoT) and voice responsiveness; power outage lighting systems in the nature of electric lighting fixtures, namely, power failure backup safety lighting with software and hardware for internet of things (IoT) and voice responsiveness; lighting fixtures and ceiling fans with software and hardware for internet of things (IoT) and voice responsiveness; flashlights with hardware and software for internet of things (IoT) and voice responsiveness; household appliances, namely, convection ovens, temperature-controlled wine cellars, electric frying pans, microwave ovens, cooking ovens, baking ovens, gas cook tops, combination steamers and ovens, ice-making machines, refrigerators, freezers, laundry dryers in the nature of clothes dryers, dehumidifiers, humidifiers, air conditioners, heaters, namely, electric beverage heaters, electric heaters for infant food, electric heaters for babies' bottles, and electric heaters for commercial use with hardware and software for internet of things (IoT) and voice responsiveness; household appliances, namely, electric patio heaters, electric radiant heaters for household purposes, gas patio heaters, portable electric heaters with hardware and software for internet of things (IoT) and voice responsiveness; bread makers in the nature of bread baking machines with hardware and software for internet of things (IoT) and voice responsiveness; electric ice-cream makers with hardware and software for internet of things (IoT) and voice responsiveness; electric appliances, namely, pressure cookers, electric slow cookers, electric cooking ovens, electric cook tops, electric stoves, self-cleaning electric cooking ovens, electric coffee makers, electric coffee percolators, automatic electric waffle makers, electric barbecue grills, fondue pots with heat source, electric sandwich toasters, electric toasters, electric kettles, immersion heaters, electric baby food warmers, sterilizers with hardware and software for internet of things (IoT) and voice responsiveness; electric appliances, namely, electric yogurt makers, electric hotplates, electric egg cookers, automatic electric coffee machines, facial saunas, infrared lamps, electronic facial steamers, whirlpool baths, heating pads not for medical purposes, hair dryers, electric espresso machines, electric coffee machines, electric coffee filter machines in the nature of coffee filters not of paper being part of electric coffee makers, electric espresso machines, electric mocha machines in the nature of coffee machines, electric rice cookers, electric kettles, electric blankets, not for medical purposes, electric fans, electric deep fryers with hardware and software for internet of things (IoT) and voice responsiveness","September 27, 2019","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA 410 Terry Ave. N. Seattle WASHINGTON 98109"
